Applicable Material,Brand Contact,Base,Brand,Capacity,Care Instructions,Category,Collection,Color,Compliance Standards,Construction,Control Type,Country of Origin,Depth,Diameter,Dirt Types,EAN,Energy Efficiency,Expiry,Finish,Freezer Capacity,Height,Length,Manufacturing Standard,Material,Model Number,Mounting,Packing Type,Power,Price,Room,Scent,Series,Shape,SKU,Style,Thickness,UPC,Warranty,Weight,Width,Product Type
Plastic,,,,,,,,Black,UL Approved,,,,,,Hard Water Stains,4000530597571,,,,,113.03 cm,,,Polyurethane,THU-2109TB,,,,,,,,,WQ1603CT32CP1S,,,735343729836,,35.05 g,56.8 cm,
Stainless Steel,,,,,,,,Chocolate Brown,ISO 9001 Certified,,,,,,Lime,4004633264545,,,,,114.00 cm,,,Foam,ATS-ATS3042-BR-P2,,,,,,,,,CF/CC/FLORA/SAGE/F0079/06,,,683405421085,,35.2 g,58 cm,
Wood,,,,,,,,Weatherwood on Burgundy,Meets GSA Compliance specifications,,,,,,Oil-Based Soil,4004633266181,,,,,114.30 cm,,,Lokta Paper,MAR-5378B-72X120O,,,,,,,,,PT/CF/3177/022,,,724999918107,,35.3 g,59 cm,
Ceramics,,,,,,,,Burgundy on Black,Energy Star Qualified,,,,,,Soap Scum,4006932670195,,,,,114.62 cm,,,PVC & Cotton fabric,GAR-GF30-BRL,,,,,,,,,9377-1258-67,,,737538663598,,35.35 g,60 cm,
Fiberglass,,,,,,,,Cedar on Black,EPA Safer Choice Label,,,,,,Water-Based Soil,4000530680815,,,,,115.57 cm,,,Steel & ELM Wood,ADV-PS-15-96,,,,,,,,,PT/CF/5815/587,,,789313318636,,35.4 g,61.98 cm,
Finished/Sealed Wood,,,,,,,,Cedar on Chocolate Brown,FDA Regulated,,,,,,Bacteria,7611990156207,,,,,116.00 cm,,,Combed Cotton,MRS-PH10120-4XU-PW,,,,,,,,,PTC/CF/9753/302,,,885882614671,,35.5 g,62 cm,
Laminates,,,,,,,,Weatherwood on Chocolate Brown,Conforms to ASTM D1974 Standards,,,,,,Dust,4006932658780,,,,,116.21 cm,,,PP,JOH-MBS06-W,,,,,,,,,SMD/CF/5908PAG/TEA,,,082846032780,,35.55 g,64 cm,
Metal,,,,,,,,Scarlet Red,ISO 9001-2008,,,,,,Grime,4000530680723,,,,,116.84 cm,,,Iron,EAG-BW1436C-SC,,,,,,,,,PTC/CF6472/119,,,752356814991,,35.6 g,66 cm,
Plaster,,,,,,,,Pacific Blue,Trade Act Compliant,,,,,,Soap Scum,4000530617262,,,,,117.48 cm,,,Foam / Plastic,APW-CTRD-1418,,,,,,,,,PTC/CF/5743/265,,,042976501297,,35.7 g,67 cm,
Plastic,,,,,,,,Kiwi Green,ISO 9001 Certified,,,,,,Water Spots,4015625607288,,,,,117.63 cm,,,Polyethylene,MRS-LPV236-1E-BG-TS,,,,,,,,,MAKO_1769_1,,,027045785914,,35.87 g,69 cm,
Vinyl,,,,,,,,Sunburst Yellow,ANSI Z89.1 Type 1,,,,,,Food Stains,4000530689238,,,,,118.11 cm,,,Felt,NEM-8036-SLT-220,,,,,,,,,PTC/CF/5889/588,,,035886304478,,35.94 g,70 cm,
Chrome,,,,,,,,Mango Orange,Class E Compliant,,,,,,Grass Stains,4055432041868,,,,,118.27 cm,,,Polycarbonate - Glass Filled,RAN-RANFG-ST-5,,,,,,,,,CF/PTC/4252/996,,,616418672168,,36.00 g,72 cm,
Plastic,,,,,,,,Hot Red,FDA Compliant,,,,,,Grease,4006932769509,,,,,118.59 cm,,,Wire,CHL-502LS,,,,,,,,,CC/CF/DOTTY/TAUPE/F0063/12,,,041298730378,,36.16 g,74 cm,
Simulated Wood,,,,,,,,Stone,NSF Certified,,,,,,Oil-Based Soil,4000530639721,,,,,118.90 cm,,,Fabric: 190T PVC,ATS-ATB2460-BK-P1,,,,,,,,,PT/CF/3178/305,,,042648402068,,36.25 g,75 cm,
Stainless Steel,,,,,,,,Stainless / Cherry,Conforms to ASTM E 1965-98 Standards,,,,,,Organic Matter,4000530648679,,,,,119.06 cm,,,Stainless Steel,EAG-S4-74-2136E,,,,,,,,,MAKO_2000_W02,,,893835001409,,36.27 g,76 cm,
Vinyl,,,,,,,,Black Cabinet with Stainless Steel Trim,VOC Compliant,,,,,,Water-Based Soil,4006932686004,,,,,119.22 cm,,,Plastic,SYR-911194409,,,,,,,,,PT/CF/5808/906,,,887530005220,,36.28736 g,77 cm,
Ceramic Tile,,,,,,,,Empire Green / Desert Brown,Kosher,,,,,,Grime,4000530675743,,,,,119.38 cm,,,Nickel Plated,GRI-302KE,,,,,,,,,HK-98048RS,,,027045785907,,36.38 g,77.5 cm,
Chrome,,,,,,,,Deep Blue,Compliant with California Proposition 65,,,,,,Mildew,4000530679871,,,,,119.54 cm,,,Core Material: formed,ELK-SLWT36X120-BS,,,,,,,,,PTC/CF/5888/655,,,079841280315,,36.49 g,81 cm,
Formica Counters,,,,,,,,Black & Gray,Compliant with the VOC (Volatile Organic Compound) limits,,,,,,Mineral Scale,4000530508812,,,,,119.70 cm,,,semi rigid inorganic glass fibers Fabric Facing: acoustically transparent polyester tweed Encapsulation: micromesh on front and rear surface,JOH-ST6R5-3084GBK,,,,,,,,,PTC/CF/3385/031,,,223371733296,,36.5 g,89.5 cm,
Glass,,,,,,,,Sky Neutral,including California,,,,,,Mold,4000530663498,,,,,120.02 cm,,,resin treated edges Mounting: galvanized steel corkscrew,DUK-1553P,,,,,,,,,PTC/CF6470/632,,,885447541251,,36.71 g,90 cm,
Mirrors,,,,,,,,Ruby,OSHAs Hazard Communication 29 CFR 1910 1200,,,,,,Soap Scum,4000530654557,,,,,120.65 cm,,,Needle:stainless steel,RUB-FGST7EPLWH,,,,,,,,,Y20-25467,,,086876194371,,36.72 g,91 cm,
Plastic,,,,,,,,Antique White Finish,Conforms to ANSI/ISEA 101 Sizing Standards,,,,,,Soil,4000530502919,,,,,120.97 cm,,,will not rust Grip tube: plastic,UNI-1020086,,,,,,,,,APPEARINGBAMBOO8,,,050875805613,,36.9 g,92 cm,
Plexiglass,,,,,,,,Rope Stripe,Conforms to ASTM F739 Standards,,,,,,Water Stain,4000530680426,,,,,121.29 cm,,,Wicker,MAG-MKG-60-ST,,,,,,,,,PTC/CF/3385/707,,,887665087481,,37.00 g,93 cm,
Porcelain,,,,,,,,beige,Meets or exceeds all EPA Procurement Guidelines for post-consumer recycled content,,,,,,Asphalt,4000530676702,,,,,121.44 cm,,,Aluminum,PER-TS48IC,,,,,,,,,KONA_1009,,,042976501280,,37.06 g,96 cm,
Tabletops,,,,,,,,Translucent Clear/Silver,All Clorox products,,,,,,Asphalt Sealers,4211129116367,,,,,121.76 cm,,,Tile,MES-WK140C,,,,,,,,,cynthia-home-kitchen-333,,,035886306342,,37.15 g,97.5 cm,
Vinyl,,,,,,,,Red ,including its subsidiaries,,,,,,Brake Dust,4004633260196,,,,,121.92 cm,,,Cloth,ONE-R4480000560C,,,,,,,,,30023256,,,029986988348,,37.2 g,99 cm,
Ceramic,,,,,,,,Blue0,are formulated to be in compliance with all local,,,,,,Carbon Black,4004633260271,,,,,122.56 cm,,,Borosilicate glass,ANC-2940M,,,,,,,,,PTC/CF6456/154,,,885240497083,,37.3 g,99.4 cm,
Formica,,,,,,,,Ivory and Tan,state and federal regulations governing VOC emissi,,,,,,Clay,4000530647849,,,,,123.03 cm,,,Cotton and Imitation Leather,ATS-ATS3060-GR,,,,,,,,,PT/CF/3177/009,,,781723980212,,37.48 g,99.5 cm,
Other Hard Surfaces,,,,,,,,Stainless Platinum,Meets or exceeds ANSI/BIFMA Standards,,,,,,Creosote,4004633283591,,,,,123.19 cm,,,PU (Polyurethane),COC-FHP36-3RBB,,,,,,,,,UDSPOTTEDSILK_9,,,759455247644,,37.76 g,100 cm,
Painted Surface,,,,,,,,Black Stainless Steel,SCS Indoor Advantage Gold Certified,,,,,,Gasket Sealers,4000530689184,,,,,123.83 cm,,,metal,JOH-KCT-BS3625,,,,,,,,,PT/CF/5938/119,,,811745023519,,37.87 g,101 cm,
Tile,,,,,,,,Star White,Level 1 Certified,,,,,,Grease,4004633100904,,,,,124.94 cm,,,Non-Woven,EAG-E1863-C,,,,,,,,,PTC/CF/3198/005,,,037988909124,,37.9 g,108.2 cm,
Leather,,,,,,,,Alabaster / Red Oak,Meets ANSI/BIFMA test standards for commercial office furniture in place at time of manufacture,,,,,,Modern Printing Ink,4000530654564,,,,,125.89 cm,,,PVC,EAG-SSD21-C,,,,,,,,,ADB31608,,,046561178567,,37.95 g,109.2 cm,
Non-metallic Materials,,,,,,,,Blue/Red,USDA Certified Biobased 54%,,,,,,Mud,4006932654881,,,,,125.98 cm,,,Stainless Steel,FOL-1025-52,,,,,,,,,CF/PTC/4252/302,,,086279051714,,38.00 g,109.5 cm,
Rubber,,,,,,,,Palm,Meets ANSI/BIFMA standards for safety and performance.,,,,,,Oil,4000530678072,,,,,126.37 cm,,,Stainless Steel SS304,MAS-761030-E,,,,,,,,,SKUTRIVET140,,,885400910056,,38.1 g,110 cm,
Upholstery,,,,,,,,Mediterranean Blue,ANSI Type II,,,,,,Oil Based Paint,4000530583079,,,,,126.68 cm,,,Oak,TRA-G21004P,,,,,,,,,PT/CF/5938/109,,,047225978912,,38.3 g,117.5 cm,
Aluminum,,,,,,,,Citrus Juicer,Medium Duty Commercial,,,,,,Shellacs,4000530658791,,,,,126.84 cm,,,PC & Stainless Steel,GET-ML-134-TY,,,,,,,,,KS2651BK,,,783774095419,,38.7 g,119 cm,
Chrome,,,,,,,,blue,OSHA Compliant,,,,,,Soil,4000530549389,,,,,127.00 cm,,,Steel ,MES-WK140B,,,,,,,,,ADB33612,,,168141308598,,39.00 g,119.5 cm,
Stainless Steel,,,,,,,,cream,NFPA 701 Compliant,,,,,,Tar,4000530629678,,,,,127.64 cm,,,Glass,WCU-14117-10,,,,,,,,,2109WDGB,,,043662640658,,39.2 g,122 cm,
Dirt,,,,,,,,Inner Red,NFPA 99 Compliant,,,,,,Urethanes,4000530683632,,,,,128.11 cm,,,Poly / Rayon,JOH-SBS-G20,,,,,,,,,DS18DJL(WKA),,,011172431059,,39.3 g,123 cm,
Soil,,,,,,,,Custom Panels0,ADA Compliant,,,,,,Varnish,4000530636959,,,,,128.91 cm,,,High pressure laminate,CAM-CSURS44487480,,,,,,,,,PTC/CF5981/314,,,024147211464,,39.36 g,124 cm,
Ceramics,,,,,,,,White Yellow Black,GREENGUARD Certified,,,,,,Wood Stain,4000530658845,,,,,129.38 cm,,,Wicker,GLT-GDU-18X66,,,,,,,,,RILE_C5663_MINT,,,027045762274,,39.4 g,125 cm,
Enamel,,,,,,,,White / Black Glass,NFPA Life Safety Code 101,,,,,,Germs,4000530480064,,,,,129.54 cm,,,Tile & Iron,EAG-3TF1848-C,,,,,,,,,RILE_C5664_MINT,,,042976266714,,39.68 g,137 cm,
Fiberglass,,,,,,,,white,Section 31,,,,,,Grease,4000530652225,,,,,129.86 cm,,,Leatherette,MRS-HV2108-2EIN-BG,,,,,,,,,8981/85/89/93/97,,,046501084439,,39.69 g,140 cm,
Glass,,,,,,,,Silver/Black,OSHA Compliant,,,,,,Soap Scum,4000530661906,,,,,130.18 cm,,,PP,ONE-E3211264866,,,,,,,,,ARPTRJAR0226B12345,,,841710106183,,39.72 g,145 cm,
Grout,,,,,,,,Mahogany/Black,Conforms to ASTM D6400 Standards,,,,,,Viruses,4006932612270,,,,,131.29 cm,,,Tritan,DEX-P177A-PCP,,,,,,,,,PT/CF/5935/369,,,702916047680,,40.00 g,150 cm,
Laminates,,,,,,,,1) 1 Top 4 Drawers,Conforms to ASTM D6868 Standards,,,,,,Bacteria,4000530620583,,,,,131.45 cm,,,ABS,CIG-20873,,,,,,,,,fabric-trnsfr-env-3918-white,,,759284468890,,40.25 g,185 cm,
Metal,,,,,,,,Opal Grey,FSC Certified,,,,,,Dust,4004633296522,,,,,131.92 cm,,,Stainless Steel,ADV-HF-SS-3610M,,,,,,,,,B/L/T2110R,,,326616098348,,40.45 g,192 cm,
Plaster,,,,,,,,Natural Cherry/Slate Gray,SFI Certified,,,,,,Germs,4000530676740,,,,,132.08 cm,,,Birch,EAG-B3CT-22,,,,,,,,,PT/CF/5816/031,,,024147230977,,40.7 g,200 cm,
Plastic,,,,,,,,Cranberry,ISO 9001-2000,,,,,,Grease,4000530577955,,,,,132.40 cm,,,Picnic,DUK-956-461-2,,,,,,,,,PTC/CF/1250/007,,,027045748452,,40.9 g,218 cm,
Vinyl,,,,,,,,Mirror,Cedar Grove Composting Approved,,,,,,Grime,4004633176169,,,,,132.72 cm,,,Short Plush,RUB-FGR48HT201PL,,,,,,,,,PT/CF/3176/305,,,885671009770,,41.1 g,260 cm,
Cement/Concrete,,,,,,,,Chocolate and Light Blue,SFI Certified,,,,,,Water-Based Soil,4000530535290,,,,,133.51 cm,,,Canvas,JOH-SLS930,,,,,,,,,AZ00-11682x31942,,,847127004555,,41.25 g,5561.024 cm,
Ceramics,,,,,,,,Bordeaux,UL-1 Hour Fire Rating,,,,,,Dirt,4006932730400,,,,,134.14 cm,,,stainless steel,JOH-ST6-2436SBK,,,,,,,,,BFR634GW1,,,736211522597,,41.45 g,9891.732 cm�,
Enamel,,,,,,,,Dark Purple,ANSI/ISEA 101-1996 Compliant,,,,,,Liquid,4000530679604,,,,,134.46 cm,,,ERU Silicone Coated PVC,MRS-STD2144-4XG-PW,,,,,,,,,PTC/CF/1250/412,,,785934121617,,41.5 g,,
Fiberglass,,,,,,,,Silver ,NFPA 99 Compliant,,,,,,Soil,4000530683199,,,,,134.62 cm,,,Aluminum,CAM-BAR540401,,,,,,,,,CF/PTC/5779/296,,,854689001960,,41.53 g,,
Glass,,,,,,,,Black,Meets U.S. EPA Standards for post-consumer material paper content,,,,,,Fungus,4000530486714,,,,,135.26 cm,,,Artificial Leather,MES-K020D,,,,,,,,,CF/PTC/5768/707,,,035886113698,,41.6 g,,
Grout,,,,,,,,Modern Walnut,ADA Compliant,,,,,,Grime,4000530681188,,,,,136.68 cm,,,ABS & Stainless Steel,LNG-272SC,,,,,,,,,PT/CF/5788/370,,,875011004800,,41.85 g,,
Laminates,,,,,,,,Ivory and Blue,UL/CE Registered,,,,,,Mildew,4000530686992,,,,,137.16 cm,,,Cotton,CAR-60908SERS,,,,,,,,,CC/CF/FSTRIPE/DUCKEGG/F0296/02,,,608442929110,,41.86 g,,
Metal,,,,,,,,Chrome,CSFM Approved,,,,,,Mold,4260285295317,,,,,139.70 cm,,,90% / Polyester,EAG-F2QA2-74-1872S,,,,,,,,,HRM2905-2,,,095285411580,,42.00 g,,
Plastic,,,,,,,,petrol,FSC Certified,,,,,,Dust,4000530653994,,,,,140.81 cm,,,10%,ELK-SLCDTLI-36-L,,,,,,,,,COURCP295600BG,,,065410521248,,42.1 g,,
Sealed/Engineered Stone,,,,,,,,Hansen Cherry/Silver,LEED Applicable,,,,,,Grease,4000530571236,,,,,140.97 cm,,,anti - slip rubber handle,JOH-CHYBBIT7-3027,,,,,,,,,PTC/CF/5739/939,,,814982018942,,42.35 g,,
Vinyl,,,,,,,,Ebony,SFI Certified,,,,,,Grime,4000530569561,,,,,142.24 cm,,,Aluminum,INT-P1836BR,,,,,,,,,PT/CF/3104/316,,,765293863236,,42.6 g,,
Appliances,,,,,,,,Pearl Grey,ETL Approved,,,,,,Soil,4000530382603,,,,,144.00 cm,,,steel,AME-HMPB20,,,,,,,,,SMD/CF/5908PAG/EAU,,,719918383876,,42.66 g,,
Countertops,,,,,,,,Steeple Grey,UL Listed,,,,,,Bacteria,4000530592941,,,,,144.78 cm,,,Double Poly Coated Paper,MRS-HV296-2XH-SS,,,,,,,,,PT/CF/3176/801,,,652383751866,,42.7 g,,
Desktops,,,,,,,,Black & Silver Instant Read Thermometer,BPI Certified Compostable,,,,,,Fungus,4000530689917,,,,,146.05 cm,,,High Speed Steel,WCU-11927-24,,,,,,,,,PTC/CF6443/626,,,716080027065,,42.8 g,,
Faucets,,,,,,,,Wood Color,LEED Applicable. Products are compostable in commercial composting facilities. Such facilities may not be available in your area.,,,,,,Germs,4000530669803,,,,,146.69 cm,,,Seconds Pottery,GET-M-418-L,,,,,,,,,SingleCupGrind&BrewDGB-1C,,,087918214569,,43.34 g,,
Glass,,,,,,,,Tango Red,EcoLogo Certified,,,,,,Grease,4000530656766,,,,,147.32 cm,,,Anodized Aluminum,VER-KF-93-TX-TC,,,,,,,,,CF/CC/DITSY-ROSE/DEB/F0368/04,,,773822286852,,43.4 g,,
Keyboards,,,,,,,,Dark Charcoal Grey,Green Seal Certified,,,,,,Grime,4000530579836,,,,,147.57 cm,,,Plastic + Silicone,EAG-2142S,,,,,,,,,PTC/CF6456/303,,,688057382555,,43.65 g,,
Mice,,,,,,,,Driftwood,EPA Safer Choice Certified,,,,,,Water-Based Soil,4711213444333,,,,,149.86 cm,,,Die-cast Zinc,ADV-CB-SS-309,,,,,,,,,CF/PTC/5781/296,,,�021241117500�,,44.00 g,,
Mirrors,,,,,,,,Bronze / Sand,Kosher Certified,,,,,,Mildew,5413917464264,,,,,151.77 cm,,,Tempering steel,ONE-A911357227,,,,,,,,,SMD/CF/5902PER/CHAR,,,686024515098,,44.09 g,,
Phones,,,,,,,,Black with Multi Designs,USDA Certified Biobased,,,,,,Mold,4000530579003,,,,,152.40 cm,,,galvanized,ATS-ATW42-N-P1,,,,,,,,,SPI58N05EU,,,073078117048,,44.42 g,,
Tile,,,,,,,,Kiwi Green,ANSI Z358.1-2014 Compliant,,,,,,Dirt,4000530655554,,,,,154.94 cm,,,chromalized,AFP-AL1120-S,,,,,,,,,CC/CF/FELIX/AQUA/F0438/01,,,086876016482,,44.61 g,,
Wood,,,,,,,,Pink,EcoLogo Certified,,,,,,Germs,4000530685988,,,,,155.73 cm,,,Carbon Steel,ELK-SLWT36X84-BG,,,,,,,,,SQ32N,,,073852017687,,44.8 g,,
Ceramic,,,,,,,,20x20 Grey Velvet,USDA Certified Biobased 65%,,,,,,Grease,4004633293385,,,,,156.21 cm,,,spheroidal graphite cast iron,ADV-GSG-18-84,,,,,,,,,KG21755 Red (2 in 1),,,073555265132,,44.84 g,,
Fiberglass,,,,,,,,Black/Gray,Conforms to ASTM D2047 Standards,,,,,,Soil,4000530337962,,,,,157.32 cm,,,Acrylic / Stainless,EAG-S5-86-2460V,,,,,,,,,TC21576SN Gray,,,888206141853,,44.91 g,,
Finished Wood,,,,,,,,Rose,CGMP,,,,,,Dirt,4006932659282,,,,,157.48 cm,,,Fiber,MAY-DFORIG30RD,,,,,,,,,PTC/CF/5869/300,,,840779000128,,45.05 g,,
Glass,,,,,,,,Camel Fade,EPA Safer Choice Label,,,,,,Grime,4000530689177,,,,,160.02 cm,,,Hardwood Maple,LAC-L500-98024,,,,,,,,,SMD/CF/5901VINT/CHART,,,071064267906,,45.06 g,,
Metal,,,,,,,,Canvas Regatta,EcoLogo Certified,,,,,,Mildew,4000530577054,,,,,162.56 cm,,,Wings: Die-cast-aluminum; Pin: Stainless steel; Centering bolt (optional): Nylon PA,JOH-42PB1618-1D24L,,,,,,,,,EsproPress18ozGlass,,,881728585242,,45.15 g,,
Plastic,,,,,,,,0,Exceeds EPA standards for minimum post-consumer waste content: bath tissue 20%,,,,,,Soap Scum,4000530677990,,,,,165.10 cm,,,glass fibre reinforced,ADV-EG-246,,,,,,,,,CC/CF/ENG-ROSE/TAUPE/F0295/05,,,078541155503,,45.3 g,,
Skin,,,,,,,,Redwood,FSC Certified,,,,,,Dirt,5035048465400,,,,,165.42 cm,,,Cromargan 18/10 stainless steel,INS-SS-100-12A-CC202,,,,,,,,,CBK-100FR/REFUBR,,,086876224320,,45.3592 g,,
Vinyl,,,,,,,,Rust,DfE Certified,,,,,,Grease,4000530684523,,,,,167.64 cm,,,Paper / Film,GRO-US023078,,,,,,,,,30021510,,,077218077278,,45.45 g,,
Glass,,,,,,,,Rosewood Handle,UL Classified 43R9 as to slip resistance,,,,,,Liquid,4006932613031,,,,,170.18 cm,,,Handwheel: Stainless steel A4,EAG-SDTL-36-16-3-X,,,,,,,,,PTC/CF/5906/106,,,807174509601,,45.48 g,,
Melamine,,,,,,,,Harvest,NSF/USDA Classification H2,,,,,,Oil,4000530535245,,,,,172.24 cm,,,Clearly debured,FOL-DEV1325SG-60-BG,,,,,,,,,PT/CF/5785/738,,,072067228093,,45.7 g,,
Porcelain,,,,,,,,Brushed Stainless,ANSI Z308.1-2009 Compliant,,,,,,Food Debris,4000530489524,,,,,172.72 cm,,,Hub machined,APW-WGST-2-LP,,,,,,,,,L1041R/S1041R,,,073555942309,,45.75 g,,
Glass,,,,,,,,Pebble Gray,Green Seal Certified,,,,,,Grease,4000530677242,,,,,175.26 cm,,,Rim polished,ACY-3870-5-8,,,,,,,,,CF/PTC/5777/144,,,086876192360,,45.8 g,,
Fiberglass,,,,,,,,Walnut,LEED Building Compliant,,,,,,Hair,4004633223788,,,,,177.80 cm,,,Machine handle: Stainless steel A4,EAG-WDR204808-A,,,,,,,,,005.019.018.001,,,807174527995,,45.9 g,,
Painted Surfaces,,,,,,,,Grey0,SFI Certified,,,,,,Oil-Based Soils,4000530674319,,,,,179.07 cm,,,Wood Cellulose Polymer,AFP-B6903,,,,,,,,,PTC/CF/7151/009,,,810598011360,,46.00 g,,
Porcelain,,,,,,,,Black / Red Oak,USDA BioPreferred,,,,,,Organic Matter,4004633049173,,,,,179.83 cm,,,Toiletries,NEW-99272,,,,,,,,,MC46FOOT_halloween,,,067220325092,,46.01 g,,
Stainless Steel,,,,,,,,Ceramic Color,FDA Approved,,,,,,Water-Based Soils,4000530663368,,,,,180.00 cm,,,8 Ga. Vinyl,BON-61280,,,,,,,,,RE-XR1340OUTD,,,091141755744,,46.07 g,,
Glass,,,,,,,,Matte Black,USDA Approved,,,,,,Grease,4006932637211,,,,,180.34 cm,,,W/3.1oz. Polyester Backing,SOU-S48EE-4G,,,,,,,,,PTC/CF/3090/106,,,078973015130,,46.25 g,,
Mirrors,,,,,,,,Bisque0,FSC Certified,,,,,,Grime,4000530691354,,,,,182.88 cm,,,Wood,FOL-HCD700WBT,,,,,,,,,PTC/CF/3092/805,,,071503903587,,46.5 g,,
Ceramic,,,,,,,,Mocha,SFI Certified,,,,,,Organic Matter,4004633186595,,,,,183.20 cm,,,Birch,JOR-218608,,,,,,,,,PTC/CF/1248/909,,,089192669110,,47.00 g,,
Fiberglass,,,,,,,,1.3L Humidfier,Meets or exceeds ANSI/BIFMA Standards,,,,,,Dust,4000530485977,,,,,185.42 cm,,,Nelfilcon A II 2 (with added PVA) 69% water,APW-GST-3S-LP,,,,,,,,,TC21805 Brown,,,086876176384,,47.18 g,,
Plastic,,,,,,,,Aqua Sky,UL Listed,,,,,,Grease,4000530681195,,,,,187.96 cm,,,Tin,THU-2416TM,,,,,,,,,CHANGEPORTRAIT_5X7_CARMILLA,,,073555560602,,47.2 g,,
Porcelain,,,,,,,,Mixed,NSF Certified to Std. 2,,,,,,Grime,4000530639554,,,,,188.28 cm,,,,JOH-SNB10,,,,,,,,,PT/CF/5809/107,,,034238946304,,47.5 g,,
Stainless Steel,,,,,,,,Mahogany Wood,FSC Certified,,,,,,Oil,4000530675675,,,,,189.23 cm,,,,MRS-STD2108-3EFS-BG,,,,,,,,,2031BL/C/G,,,790406014045,,47.55 g,,
Tile,,,,,,,,Wild Dove,Meets EPA minimum standards for post-consumer waste content,,,,,,Soil,4006932659244,,,,,189.55 cm,,,,ADV-DTC-K30-60R,,,,,,,,,6cupKontessaTubo,,,843977688198,,47.6 g,,
Chrome,,,,,,,,Empire Red,CSA Approved,,,,,,Food Residue,4000530625670,,,,,189.87 cm,,,,EAG-QPF-2472E-GL-X,,,,,,,,,PT/CF/3176/725,,,749384002681,,47.95 g,,
Glass,,,,,,,,Golden,Meets OSHA Standards,,,,,,Spills,3520071449524,,,,,190.50 cm,,,,EAG-SSRLC-41,,,,,,,,,30020672,,,042167381189,,48.00 g,,
Stainless Steel,,,,,,,,Purple,UL Listed,,,,,,Grease,4004633264446,,,,,191.77 cm,,,,BON-91019113S,,,,,,,,,BLI1095-X,,,013700716256,,48.45 g,,
Laminate,,,,,,,,Tangerine / Maple,Meets ANSI/BIFMA Standards for safety and performance.,,,,,,Grime,4055432154049,,,,,193.04 cm,,,,GRI-970000,,,,,,,,,45008-0000 BX,,,021200977169,,48.5 g,,
Asphalt Tile,,,,,,,,Silver and Black,Orthodox Union Kosher Certified,,,,,,Oil,4000530648594,,,,,195.58 cm,,,,CAR-1064102,,,,,,,,,PT/CF/5937/119,,,042976296025,,48.6 g,,
Concrete,,,,,,,,Gray Marble,Complies with all of the various state phosphate regulations,,,,,,Soil,4000530628640,,,,,198.12 cm,,,,EAG-RM1436BL,,,,,,,,,CF/PTC/5776/630,,,628303002844,,48.83 g,,
Floors,,,,,,,,Black & Green,Complies with California Proposition 65,,,,,,Bacteria,4006932613284,,,,,200.66 cm,,,,CIG-H4234,,,,,,,,,DK-1511-V-305,,,078484096871,,49.00 g,,
Gym Floors,,,,,,,,Black 3. Subtype: 3 Sections,Complies with the VOC (Volatile Organic Compound) limits,,,,,,Dust,4000530482020,,,,,202.88 cm,,,,HAT-GRS-30-G,,,,,,,,,MAKO_3474M,,,086876091557,,49.05 g,,
Linoleum,,,,,,,,Black / Cherry,including California. Complies with TSCA regulations. EPA DfE Safer Choice Label.,,,,,,Germs,801602272016,,,,,203.20 cm,,,,EAG-2448Z63-5,,,,,,,,,CF/STRNBRG/ORGANZA/BLACK25,,,075845042430,,49.3 g,,
Marble,,,,,,,,Navy Bluie,FDA Registered,,,,,,Soil,4004633281818,,,,,204.47 cm,,,,TUR-TSW-3096SS,,,,,,,,,8442,,,641128736671,,49.41 g,,
Resilient Floors,,,,,,,,Tropical Yellow,FDA Compliant,,,,,,Viruses,4004633295754,,,,,205.74 cm,,,,UPD-NLD-25-BK-SF,,,,,,,,,RILE_C5665_RASP,,,073577153875,,49.5 g,,
Sealed Wood,,,,,,,,White(Outer),FDA Compliant,,,,,,Dirt,4000530687852,,,,,208.92 cm,,,,BEV-BM23C-S,,,,,,,,,PT/CF/5789/502,,,078731989192,,49.65 g,,
Sport Floors,,,,,,,,Black(Inner),SFI Certified,,,,,,Fingerprints,4000530645005,,,,,209.55 cm,,,,MAT-071081,,,,,,,,,PTC/CF/3385/801,,,042976244149,,49.67 g,,
Stone,,,,,,,,Solid Black,CETL Listed,,,,,,Grime,4000530669926,,,,,209.70 cm,,,,UPD-BC-2416BZ,,,,,,,,,PTC/CF/1744/009,,,086486724753,,49.89512 g,,
Terrazzo,,,,,,,,Blue/Black,ETL Listed,,,,,,Dirt,4006932769271,,,,,213.36 cm,,,,COC-FHP42-2-5LB,,,,,,,,,CF/ATP/4615-INCA/80-INK,,,050505541195,,49.93 g,,
Tile,,,,,,,,Purple & White,EcoLogo Certified,,,,,,Grease,4004633204619,,,,,216.69 cm,,,,ADV-DTC-K60-60L,,,,,,,,,PTC/CF6471/696,,,037700718485,,50.00 g,,
Vinyl,,,,,,,,Antique Dark,USDA Certified Biobased Formulation,,,,,,Grime,4000530671257,,,,,218.44 cm,,,,GLT-WCO60,,,,,,,,,PT/CF/5815/031,,,644632904482,,50.31 g,,
Wood,,,,,,,,Black White,Conforms to ASTM D6866 Standards,,,,,,Oil,4000530676672,,,,,228.60 cm,,,,MRS-STD2108-3WU-BG,,,,,,,,,SMD/CF/5910ETER/EAU,,,071798507644,,50.35 g,,
Cardboard,,,,,,,,Ivory,GREENGUARD Gold Certified for low chemical emissions to UL 2818,,,,,,Dirt,4055432154834,,,,,230.00 cm,,,,PSF-600-7272A-PAD,,,,,,,,,CF/STRNBRG/ORGANZA/GREY-23,,,086486298254,,50.93 g,,
