Brand,Interface,Model,"Portable Memory (Pen, Memory Card...)",Processor,Material,Condition,Memory Speed,Screen Size,Operating System,Output Voltage,Battery Capacity,Storage Capacity,UPC,Color,Power Supply,Security,Memory,Graphics Card,Data Transfer Rate,Warranty,Category,Clock Speed,Compliant Standards,Cable Length,Input,Cache Memory,RAID Level,Processor Socket,Data Link Protocol,Battery Type,Processor Core,Average Seek Time,Rotational Speed,Weight,Generation,Product Type,Country of Origin,EAN,Memory Type,Reading Speed,Writing Speed,SKU,Resolution
apc,SCSI,285381-001,,SOC,otg,,,,Ubuntu,,,,894092003632,Matte Black,+12V,,,,,,,2.0,IEEE 802.3x,15.0m,100-240V ~1.0A,,RAID 0 RAID 1 RAID 10 RAID 5,Socket LGA-1366,,,,,,25.1 oz,,Network Adapter,,7571208315010,EEPROM,,,SSTP620G,400dpi (2
apple,IDE/ATA,292237-001,,Dual-Core,pc,,,,Windows 10,,,18GB,132018150757,Transparent Red,250 W,,,,,,,2.13 GHz,IEEE 802.3ad (LACP),304.8 mm [12 in],50/60Hz,,RAID 0,Socket F LGA-1207,,,,,,5.64 oz / 160 g,,Intel Pentium III Processor,,7611990169207,non-volatile memory (X-keys retains memory for over 200 years),,,FIB440410P,400 x 600dpi)
apricorn,IDE/EIDE,306592-B21,,Server,pcba board + plastic housing,,,,Windows 10 (64bit),,,1GB (4 X 256),815671013569,Rose Red,1 x 90W,,,,,,,2.4GHz,IEEE 802.1x,59.06  / 150 cm,100-240V~3.0A,,RAID 10,Socket A PGA-462,,,,,,0.5lb / 0.2kg,,Notebook carrying case and sleeve,,0889349690598,DDR4 SDRAM - LRDIMM 288-pin,,,ASSD-3PL256-120F,600 x 600dpi
aqua-computer,IDE/EIDE - SCSI,3100,,AMD Opteron 244,pebble-grain leather,,,,Windows 10 Home,,,1TB,884102026362,Transparent Black,115V or 230V,,,,,,,450 Mhz,IEEE 802.1s,1.5 Meters,50 / 60Hz,,0 1 10 5 50,Socket LGA-755,,,,,,4.48 oz / 127 g,,Server Processor,,4712900690590,DDR4 RDIMM,,,SFTP7075PI,500-1500-2000-3500 DPI
archos,ISO 7816-1,313054-001,,PowerPC 440,pet,,,,Windows 10 Home 64-bit,,,1TB (1000GB),649528770653,Titanium Gray,Internal 110/220 VAC,,,,,,,2.40GHz,IEEE 802.1ab (LLDP),80cm / 31.5inch,AC 100-240V,,RAID 0,Socket LGA-1567,,,,,,264g / 9.31oz,,Power Supply Option Kit,,0882658478413,GDDR5,,,WLX-1000,1200x1200 - 4-bit
arctic,2. 3. T0,313054-B21,,Mobile,plush,,,,Windows 10 Pro,,,2GB,841269051019,Platinium,Universal 220 W,,,,,,,1.4GHz,FCC class A,1000 foot [305m],100-240V ~ 2.0A,,RAID 1,Socket H3 LGA-1150,,,,,,174g / 6.14oz,,RAID Storage Controller,,0693494908824,DDR5,,,S26361-F3832-L181,720p
arctic silver,T1=1 protocol,313299-001,,Six Core Intel Xeon,polybutylene terephthalate (pbt),,,,Windows 10 Pro 64-bit,,,2TB,649659022706,Tangerine,210 W,,,,,,,3.0GHz,CE,2ft,50/60Hz,,RAID 5,Micro-FCPGA,,,,,,0.045Kg,,USB Cable,,5052179334856,DDR SO-DIMM,,,DELL-128MLC-NB33,4
arduino,LVD 68 pin Internal,313706-B21,,Xeon,polycarbonate,,,,Windows 2000,,,,814158022155,Multi-Colored,12 VDC,,,,,,,3.9GHz,and C-tick,45.28 / 115 cm,100-240V~1.8A,,RAID 6,FCLGA-1366,,,,,,36.57 lbs,,Server Blade,,6934949088246,DDR4 (PC4-25600),,,S14A-000-24405,800 x 600 dpi
areca,M.2 PCIe Gen 3 x4 with NVM Express,313717-001,,Pentium II,polyester,,,,Windows 7,,,2 x 64MB,884116164890,Silver Gray,Hot Plug RPS,,,,,,,1.80 GHz,IEEE 802.3,1181.1 / 3000cm,50 / 60Hz,,RAID 10,PGA-604,,,,,,5.26 oz / 149 g,,Pen tablet,,0672042044597,DDR3 (PC3-14900),,,J5D-00008,2560 x 1600 (digital)
asrock,Magnetic,327477-001,,Intel Core i3,polyethylene,,,,Windows 7 Home Premium,,,2-TB,830343007080,Glacier Grey,800W,,,,,,,2.20GHz,IEEE 802.3u,1ft,DC 12-24V,,RAID 0,Socket LGA-8837,,,,,,11.57 lbs/5.25 kg,,Flash Disk,,6720420445970,DDR4 SDRAM - DIMM 288-pin,,,SLS200USB0-01,8.0MP / Video: 2560 x 1440p30 fps
assmann,Micro SATA,327477-B21,,Pentium III-S,polymer,,,,Windows 7 Home Premium 64-Bit,,,2.0 TB,760557827184,Light Pink,90W,,,,,,,2.50 GHz,IEEE 802.3z,4.6 ft,AC 100-240V,,RAID 1,Socket F 1207,,,,,,13.3 oz / 377 g,,Serial Port Card,,0605242963542,DDR3 SDRAM,,,850298-B21,1440 x 900 WXGA+
asus,Micro USB,32GB,,Processor Kit,polyurethane,,,,Windows 7 Professional,,,200 GB,8.15671E+11,Theoretical Gray,10amps,,,,,,,1.6GHz,IEEE 802.1D,82cm / 32.28,50-60Hz (worldwide use),,RAID 4,Socket H LGA-1156,,,,,,12.56oz / 356g,,Blade System w/ Enhance Enclosure,,0757120825265,,,,FB6851,DVI Max Resolution 2560x1600
asustor,Micro USB,333593-001,,AMD Opteron 275,polyurethane polycarbonate,,,,Windows 7 Professional 64-bit,,,2000GB,889349200438,Dark Blue,100amps,,,,,,,3.50 GHz,IEEE 802.1Q,5.0m,Micro USB Charge 5V,,RAID 5,Socket PGA-603,,,,,,15.7oz / 445g,,Software Licensing,,8718722452886,,,,CABLE-178/20,600 x 600dpi
at games,USB2.0,354587-B21,,Intel Xeon Processor,pom,,,,Windows 7 Starter(32-bit),,,200GB,092636313890,Golden,20ohms,,,,,,,1.86GHz,IEEE 802.3ab,10.0m,100-240V ~2.0A,,RAID 0 RAID 1 RAID 5 RAID 10,Socket AM2 PGA-940,,,,,,6.7 kg,,Server Adapter,,4719072441296,,,,TS4GCF200I,HQ1200 (2400 x 600dpi)
atag,Mini USB,361392-001,,Intel Quad-Core Xeon,precision ground hotwork steel,,,,Windows 8,,,20GB,730143305297,Titanium Blue,,,,,,,,3.2 GHz,IEEE 802.1p,95cm / 37.4,50/60Hz,,1,LGA 771,,,,,,12.70 oz / 360 g,,Ethernet Server Adapter,,0190576837091,,,,AUC500-16G-RGD,2540 dpi
atari,NL Serial Attached SCSI (SAS),388144-B22,,AMD 6-core Opteron,pu leather,,,,Windows 8(64-Bit),,,24 TB,718037826035,Earth Yellow,,,,,,,,1.13GHz,IEEE 802.3x,132cm / 51.96,DC 5V 1A,,1 ADM,,,,,,,18.73oz / 531g,,Power Supply Kit,,0649528772404,,,,MTFDDAV1T9TCB-1AR16ABYY,HD
aten,NL-SAS,394982-001,,AMD Opteron 2218,rhinestone,,,,Windows 8.1,,,240 GB,815671012869 (Aer RGB120 & HUE+) 815671012852 (Aer RGB140 & HUE+),Azure,,,,,,,,1.47 GHz,IEEE 802.3ad (LACP),12 ft,100-240 VAC,,6 ADG,,,,,,,4.37oz / 124g,,Data Transfer Cable,,5412810139613,,,,LTAPPRO9-LA09,1920*1080 Pixels
audio-technica,NVMe PCIe,399542-001,,Intel Celeron D Processor,rubber,,,,Windows 8.1(64-Bit),,,240GB,815671012890,Maroon,,,,,,,,2.2GHz,IEEE 802.1w,3.0m,50/60 Hz / 1.5 A max,,60,,,,,,,21.16 oz,,Lithium Battery,,4002888481007,,,,637441-L21,1920 x 1200 @ 60 Hz 1920 x 1080 @ 60 Hz 1680 x 1050 @ 60 Hz 1600 x 1200 @ 60 Hz 1440 x 900 @ 60 Hz 1280 x 1024 @ 60 Hz 1280 x 960 @ 60 Hz 1024 x 768 @ 60 Hz 800 x 600 @ 60 Hz 640 x 480 @ 60 Hz
audioline,Network/Ethernet,399542-B21,,Opteron 2222,rubber,,,,Windows 98,,,2500 GB,844750023618,Gray,,,,,,,,4.2GHz,IEEE 802.1x,0.5 m [1.6 ft],100-240V ~2.5A,,0 10 0+1,,,,,,,10.89 oz / 308.6 g,,Processor upgrade,,4712900468311,,,,860673-B21,3840 x 2140 @ 120 Hz
audioquest,PCI,401231-001,,Intel Core,rubber pad,,,,Windows ME,,,256GB,619659125882,Cream,,,,,,,,2.53GHz,IEEE 802.1s,72 inch,50/60Hz,,0 1 5 10 50,,,,,,,544,,RAM memory,,5397063226344,,,,GKOSMIUM-BRN-NDC,1920 x 1080 Full HD 1080P
aukey,PCI 64,402151-001,,AMD Opteron 2378,satin anti-skin velvet lining,,,,Windows Vista Business 32-bit,,,256MB,824142026656,Black,,,,,,,,3.10GHz,IEEE 802.3ah,5 ft,DC12V-24V,,0 1 5 6 10,,,,,,,2.9 lb/1.3 kg,,RAID Controller Cache Memory,,0884962877746,,,,USBAFB,1920 x 1080 at 60 Hz
autodrive,PCI Express,412211-001,,Intel Celeron,scratch resistant abs plastic,,,,iOS,,,275GB,872767002791.00,White,,,,,,,,1.50 GHz,TCO 03,0.5 meter (1.65 ft),100-240V~1.5A,,RAID 0 1 5 10 50,,,,,,,37 oz / 1 kg,,Storage Controller (RAID),,5711045879975,,,,SHFS37A/240G,9
avaya,PCI Express 3.0,431,,Compaq HP Xeon,secc japanese steel,,,,iOS 7,,,2800mAh,798304238808,Golden Yellow,,,,,,,,2.90GHz,Energy Star 5.0,6.6 / 2.0m,50 / 60Hz,,RAID 0 10,,,,,,,216 kg,,Server Blade Enclosure,,8849628777466,,,,HX428C14SB2K4/16,600x600dpi
avermedia,PCI Express X4,4311,,Intel Xeon Quad-Core,secc steel,,,,iOS 8.1,,,2GB,163120766543,White Black,,,,,,,,3.46GHz,CEL,5 / 150 cm,100-240V~2A,,0,,,,,,,15.2oz / 413g,,Storage Media,,0886111072170,,,,90NB0E72-M02370,12.0MP / Video: 3840 x 2160p30 fps
avexir,PCI Express X8,432932-001,,Intel Atom,sgcc,,,,iOS 9,,,3-TB,610839413577,Pink,,,,,,,,2.5GHz,UL/cUL,10.6m,50 / 60Hz,,1,,,,,,,0.6kg,,BackPlane Kit,,5704327614500,,,,90NB09P1-M02030,8.0MP - Photo: 3264 x 2448 / Video: 1920 x 1080p30 fps
avinity,PCI Express x16,460004-001,,Intel Pentium Processor,silicone,,,,macOS Sierra,,,3.0 TB,824142023044,Carbonite Black ,,,,,,,,2.4 GHz,CB,150cm,AC 100-240V,,5,,,,,,,13.26oz / 376g,,Desktop Graphics Card,,0741360243996,,,,N552VX-FY186T,1
avm,PCI-X,470064-552,,Intel Xeon Pent,steel,,,,Windows,,,30 GB,15671012111 (White) 15671012128 (Black),White,,,,,,,,1.6 GHz,CE,0.91m,1 A,,10,,,,,,,0.33 lb / 0.15 kg,,Internal Hard Drive,,4053162150935,,,,RL2020,200 x 600 dpi
avocent,PCIe,480082-001,,Core i5,tempered glass,,,,macOSX,,,300 B,882658554506,Brown,,,,,,,,3.8 GHz,EuP,45.72 cm,50-60 Hz,,50,,,,,,,3.39 oz / 6g,,Power Supply,,5704327453987,,,,IB2110,Up to 600 x 600dpi (2400 x 600 dpi with Resolution Control)
axis,RJ-45,480083-001,,AMD Opteron 850,thermoplastic,,,,unix,,,300 GB,185871367244,Rose Gold,,,,,,,,16MHz,FCC,228 mm,AC 100-240V,,0 1 1 ADM 10 10 ADM 5 50 6 60,,,,,,,12.1 lbs/5.5 kg,,Power Cable,,5900496533141,,,,FAN-0162L4,8.0MP
b+w,SAS,500172-B21,,AMD Opteron 2218HE,tpu,,,,ubuntu,,,3000GB,092636313715,Translucent Pink,,,,,,,,1.60GHz,CCC,1.0 m,1 A,,RAID 0 1 10 5 50 RAID 6 60,,,,,,,4 lb/1.8 kg,,Ethernet Hub,,6901443074600,,,,4D1773824,800/1200/2000 DPI
bachmann,SAS 12GB/s,512327-B21,,Intel Pentium 4 Processor,waterproof fabric,,,,solaris,,,300GB,619659078478,Space Grey,,,,,,,,600 MHz,BSMI,10 ft,50-60 Hz,,0 1 5 10,,,,,,,3.2 oz,,Ammunition,,0889349470510,,,,90NB07N1-M00920,1
bananagold,SAS 2,593188-B21,,Intel Xeon Pentium III,zinc alloy,,,,openBSD,,,32 GB,843368035778,Denim White,,,,,,,,2.53 GHz,Gost-R,30cm / 11.81 inch,AC 100-240V 50 / 60Hz 0.5A,,RAID 0 1 10,,,,,,,3 lbs.,,Network Cable CAT6,,4712900470512,,,,P751JA-T2022G,200 x 1
bandridge,SAS 3.0,656362-B21,,Xeon 2.8 GHz,,,,,,,,320 GB,806300083626,Smoky Titanium,,,,,,,,2.5 GHz,C-Tick,600mm (23.6 inch),,,RAID 0,,,,,,,0.540 lb / 0.247 kg,,Power Supply Unit (PSU),,0718037818139,,,,FIB421010,200 dpi
baseus,SAS 300,656363-B21,,Intel Core i7,,,,,,,,320 GB (2 x 160 GB),022265951361,Turquoise,,,,,,,,3.30 GHz,VCCI,6.0 (1.8 m),,,RAID 1,,,,,,,22 lbs.,,Solid State Drive,,0718037818153,,,,HDAPPIPAD5S,1900x1200
be hello,SAS 3,656364-B21,,Opteron,,,,,,,,320GB,841163050583,Titanium,,,,,,,,2.70GHz,PSB,2.30 ft,,,RAID 5,,,,,,,.62 pounds,,SATA Cable,,3609740140785,,,,PAC-X50V502,1920 x 1080
be quiet!,SAS 6,684532-B21,,6-Core Intel® Xeon®,,,,,,,,32MB,606449099812,Deep Blue,,,,,,,,3.6GHz,J-MOSS,2.0m,,,RAID 10,,,,,,,.5oz,,Network Cable CAT5,,4053162413825,,,,X5050XA (BLACK),2256 x 1504
beafon,SAS 600,739252-B21,,Intel Celeron Processor,,,,,,,,35GB,031112150963,Military Green,,,,,,,,1.8GHz,RoHS,3.05m,,,RAID 50,,,,,,,3.2 lbs. (1.5 kg.),,Notebook carrying case,,5147841779278,,,,APB-00006,1024 x 600
beats,SAS-2,739254-B21,,AMD Opteron 242,,,,,,,,36.2GB,886112212315,Jet Black,,,,,,,,4.00GHz,WEEE,1 meter (3.3ft),,,0 1 1 ADM 5 6 10 50 60,,,,,,,3.90 lb (1.77 kg),,Gigabit Server Adapter,,7180378181396,,,,N4510U-SPRO/8TB,1920 x 1280
beko,SAS/SATA,AX760,,Intel Pentium III,,,,,,,,36.4GB,885370621839,Midnight Black,,,,,,,,2.10 GHz,Windows Vista & Windows 7 WHQL,1.8 meter (6 ft),,,RAID 0 RAID 1 RAID 4 RAID 5,,,,,,,101.87 lbs,,Host Bus Adapter,,5704327713760,,,,247E6QDSD/00,1920x1080
belkin,SATA,DPS200PB,,HP Intel Xeon,,,,,,,,360 GB,872767002685,Dark Green,,,,,,,,16 MHz,128-bit AES,0.45m,,,RAID 0 1 10 5 50 6 60,,,,,,,0.37 lb / 0.17 kg,,Memory Module,,0889955661081,,,,N6PATC1MWH,2880 x 1800
benext,SATA 1.5,ESP105,,AMD Opteron 250,,,,,,,,36900 MB,843368035686,Purple,,,,,,,,3.10 GHz,IEEE 802.3,28.7/ 73cm,,,0 1 5 6 10 1 ADM,,,,,,,0.67 oz,,Redundant Power Supply,,8716065136494,,,,THZ500UK,2048 x 1536
benq,SATA 2.0,RS-450-ACAA-D3,,Intel Core i5,,,,,,,,36GB,080050265246,Navy Blue,,,,,,,,2.80GHz,IEEE 802.3u,150cm / 59.06,,,0,,,,,,,1.13 oz (32 g),,Smart Array Controller Module,,7322460067519,,,,90NB0CN3-M07260,2560 x 1600
bestmedia,SATA 3,A1245,,Octa-Core,,,,,,,,3TB,884116167754,Dark Red,,,,,,,,2.8 GHz,IEEE 802.1Q,3.05 m,,,1,,,,,,,10.72oz / 304g,,Hot Plug Power Supply,,4043718206476,,,,MCB-120-BL,1680x1050
bethesda softworks,SATA 6.0,A1321,,Xeon MP,,,,,,,,3TB SED,813077011387,Bright Red,,,,,,,,3.2GHz,IEEE 802.3ab,4 ft,,,5,,,,,,,211g / 7.4oz (2TB),,HP/Compaq,,0672042094783,,,,X6W26AA#ABB,1440 x 900
beyerdynamic,SATA I,940-81761-2500-500,,AMD Opteron 2346HE,,,,,,,,4.3GB,844767020662,Brown Yellow,,,,,,,,1.9GHz,IEEE 802.1p,,,,6,,,,,,,1.7KG,,Smart Array SAS Controller,,4047443073112,,,,MUBAT0004,1280 x 800
big ben,SATA II,MD785LL/B,,AMD Opteron,,,,,,,,40 GB,606449110432,Rose,,,,,,,,2.13GHz,IEEE 802.3x,,,,50,,,,,,,18.17oz / 515g,,Processor Upgrade,,8716065116038,,,,SP-LAMP-LP5,2560 x 1440
bigben interactive,SATA III,MD786LL/A,,AMD Opteron 24354,,,,,,,,400 GB,844761010683,Platinum,,,,,,,,1.13Ghz,IEEE 802.3ad (LACP),,,,60,,,,,,,0.53 oz,,,,8716065229318,,,,SCKMPN-3000,1280 x 800 WXGA HD Resolution
biostar,SATA USB 3.0,ME276LL/A,,Intel Xeon Six-Core,,,,,,,,4000GB,885370909784, Lunar Blue,,,,,,,,2.66MHz,IEEE 802.1ab (LLDP),,,,1+0,,,,,,,3.2lbs,,PCMCIA,,0885022006571,,,,665864-B21,3840 x 2160
bitfenix,SATA interface,ME277LL/A,,Quad-Core,,,,,,,,400GB,815671011572 (White) 815671011589 (Black) 815671011640 (Red),Coffee,,,,,,,,2.66GHz,IEEE 802.3az,,,,JBOB,,,,,,,9,,Door,,4712511125696,,,,WD5002AALX,1366 x 768
bixolon,SCSI,ME279LL/A,,Xeon Intel,,,,,,,,40GB,844149060989,Icy Black,,,,,,,,3.20GHz,CE,,,,1 ADM,,,,,,,300g,,LCD Screen,,4712511126167,,,,MMD8815/8GB,1680 x 1050
black & decker,SCSI LVD,ME280LL/A,,AMD Opteron 2222,,,,,,,,450 GB,649659025073,Sky Blue,,,,,,,,3.60GHz,FCC,,,,0,,,,,,,68.1 lbs,,Battery,,4712511126587,,,,GM-M5050S,2736 x 1824
blackberry,Serial ATA,MGTX2LL/A,,Hexa-Core,,,,,,,,450GB,809385162958,Cyan,,,,,,,,1.60 GHz,RoHS,,,,1,,,,,,,396g / 13.97oz,,Optical Drive,,0757120837718,,,,GM-M5050S BLACK,1600 x 900
blackmagic design,Serial Attached SCSI,MLMQ2CL/A,,Intel Dual-Core Xeon 5150,,,,,,,,450MB,889955105639,Cosmic Black,,,,,,,,3.4 GHz,FCC,,,,1E,,,,,,,12.42oz / 352g,,Accessory,,5052217042804,,,,90PT00L1-M08650,3200 x 1800
blackvue,Standard 10/100 Base-T,MNV72LL/A,,Pentium III,,,,,,,,48 GB,885909772148,,,,,,,,,400 MHz,CE,,,,3,,,,,,,1.71KG,,Inverter,,7571208377186,,,,AE1200,1280 x 800 (WXGA)
blizzard,Micro USB,PR53DC,,Intel Dual-Core Xeon 5160,,,,,,,,48 TB,886227780914,,,,,,,,,3.60 GHz,RoHS,,,,5,,,,,,,3.3 lbs,,Latch,,0191545786716,,,,AE1200-EU,1920 x 1200
blizzard entertainment,USB 3.1,PS6301-1,,Quad-Core Intel® Xeon®,,,,,,,,480 GB,606449069464,,,,,,,,,3.06GHz,C-Tick,,,,6,,,,,,,0.53 kg,,Caddy,,4719072467326,,,,992110S,
blu-basic,Ultra 160/m SCSI,SM-T350NZAAXAR,,AMD Opteron 2214HE,,,,,,,,480-GB,815671012562,,,,,,,,,32MHz,RCM,,,,10,,,,,,,0.9 lb (394.6 g),,Hard Drive,,4719072469108,,,,664011-B21,
bluesound,Ultra 2 LVD SCSI,SM-T580NZKAXAR,,AMD Opteron 2216,,,,,,,,480KB,884116164579,,,,,,,,,2.30 GHz,RoHS,,,,30,,,,,,,7.55oz / 214g,,Hinge,,0882658256981,,,,90XB02IN-BSL000,
boompods,Ultra 3 SCSI,SR87MC,,Intel Xeon,,,,,,,,4G,843591005425,,,,,,,,,3.20 GHz,Energy Star ,,,,50,,,,,,,3.60 oz / 02 g,,Wireless Accessories,,0884962826560,,,,FZ-VEBG11AU,
bosch,Ultra 320 SCSI,SV98LN,,AMD Opteron 2382,,,,,,,,4GB,815671013538,,,,,,,,,1.50GHz,UL/cUL,,,,60,,,,,,,15.8 kg,,Complete Laptop,,4040895883490,,,,BZ-H06B,
bose,Ultra SCSI,ASA5505-BUN-K9,,AMD Opteron 2352,,,,,,,,4GB,843591043823,,,,,,,,,2.26 GHz,CB,,,,,,,,,,,15 lbs.,,Screw Covers,,0190017156644,,,,PS571E-07C02VDU,
boston acoustics,Ultra Wide SCSI,AWUS036h,,AMD Opteron 252,,,,,,,,4GB (1 x 4GB),846651015655,,,,,,,,,3.7GHz,CE,,,,,,,,,,,4.41 oz/125 g,,RAM Memory,,4712900140774,,,,MMA8221/8GB,
bq,Ultra160 SCSI,EW-7711ULC,,Intel Pentium III Xeon Processor,,,,,,,,4GB (1 x 8GB),806791897153,,,,,,,,,2.3GHz,ErP,,,,,,,,,,,18.41oz / 522g,,Circuit Boards,,0751492536255,,,,MMG2294/2048,
brocade,Ultra2 LVD SCSI,EW-7811Un,,Processor,,,,,,,,4GB (2 x 2GB),735858325837,,,,,,,,,3.3GH/z,FCC,,,,,,,,,,,4.37oz/124g,,Mouse Buttons,,4040849638312,,,,PD16GH2GRTSRR9,
brodit,Ultra2 SCSI,NC523SFP,,AMD Opteron 842,,,,,,,,4GB (2GBx2),815671012760,,,,,,,,,667 MHz,CCC,,,,,,,,,,,164 g / 5.78 oz,,Touchpad Palmrest,,5056006111733,,,,B8D13AA#ABB,
brofish, Wi-Fi,WNCE2001-100NAS,,Desktop,,,,,,,,4GB(2 X 2GB), 602963000006,,,,,,,,,300 MHz,BSMI,,,,,,,,,,,15.77 lbs/7.15 kg,,LCD Trim Bezel,,4713392918063,,,,NX.GDNEH.018,
brother,Wide Ultra SCSI,WNR2000-100NAS,,AMD Opteron 248,,,,,,,,4TB,761345151184,,,,,,,,,2.70 GHz,CCC,,,,,,,,,,,20.56 oz / 583 g,,Rail/Bracket,,4051528213164,,,,B-UTP505R,
bto,Wiegand,CL-P0401,,AMD Opteron 2216HE,,,,,,,,4TB,740617203707,,,,,,,,,2.8GHz,Gost-R,,,,,,,,,,,5.1 oz (144.6 g),,LCD Ribbon Cable,,4040895928511,,,,IB6430,
buffalo,iSCSI,CL-P0466,,AMD Opteron 2356,,,,,,,,5 TB,649528752185,,,,,,,,,1000 MHz 1050 MHz - with boost,C-Tick,,,,,,,,,,,12.63oz / 358g,,Laptop Speakers,,5390660153730,,,,210-41201,
bullguard,USB port,Dark Knight S1283V,,Atom,,,,,,,,5 x 400GB,848354008958,,,,,,,,,2.7GHz,VCCI,,,,,,,,,,,35.05 lb (15.90 kg)(excluding drives),,Laptop Keyboard,,5051794001648,,,,U2913WM,
cable company,1 x USB 3.0 Type-A,HYPER 612,,8x Intel Xeon 2.5GHz Processor 1MB Cache,,,,,,,,500GB,815671013668,,,,,,,,,3.30GHz,PSB,,,,,,,,,,,8.04 oz / 228 g,,Webcam,,5051964164029,,,,Y3Y40EA,
cablemod,HDMI,Hydro Series H100i v2,,Dual-core AMD 270 (2.0GHz) Opteron,,,,,,,,50GB,889842217179,,,,,,,,,3.66GHz,EK,,,,,,,,,,,0.8 oz,,Mouse,,4002888412469,,,,Y3Y40EA#ARL,
cablestogo,2 x USB 2.0,Hydro Series H105,,Dual-core AMD 275 (2.2GHz) Opteron,,,,,,,,512 B,848354007920,,,,,,,,,500 MHz,RoHS,,,,,,,,,,,8.13kg,,Power Button Board,,5054484319498,,,,Y3Y40EA#UUW,
cablexpert,FireWire-800,Hydro Series H110i,,Dual-core AMD 265 (1.8GHz) Opteron,,,,,,,,512GB,843591043786,,,,,,,,,3 GHz,WEEE,,,,,,,,,,,8.32 oz / 236 g,,Rubber Feet,,5054533319493,,,,CBL-0186L,
camelion,eSATA,Hydro Series H115i,,Single-core AMD 250 2.4GHz Opteron,,,,,,,,512 MB,735858260183,,,,,,,,,2.10GHz,Windows 7 WHQL,,,,,,,,,,,4.22 lbs,,Fan/Heatsink,,0885909116904,,,,AK3841,
candy,FireWire 400 (6-pin),Hydro Series H55,,,,,,,,,,512GB,884116167983,,,,,,,,,4 GHz,IEEE 802.3ae,,,,,,,,,,,394g,,Cables,,0885909475896,,,,NX.GCEEH.082,
canon,SAS/SATA 6,Hydro Series H75,,,,,,,,,,512MB,737989665981,,,,,,,,,3GHz,,,,,,,,,,,,1.34 oz,,Bluetooth,,0885909792894,,,,DT111/64GB,
canopii,DisplayPort,Hydro Series H80i v2,,,,,,,,,,5TB,132017750224,,,,,,,,,3.70 GHz,,,,,,,,,,,,19 g,,Docking Station,,0885909793068,,,,DT111/64GBER,
canton, Thunderbolt 2,Hydro Series H90,,,,,,,,,,6 TB,031113286579,,,,,,,,,1.7GHz,,,,,,,,,,,,4.8 kg,,Wireless Card,,4713883099592,,,,90NB07G2-M07830,
canyon,Dual port,A30,,,,,,,,,,6 TB (2 x 3 TB),803982755506,,,,,,,,,866MHz,,,,,,,,,,,,126 g / 4.44 oz,,Clip/Connector,,5705965751909,,,,T300CHI-FL219T,
capcom, 1 x 3.5 mm mic,A40 Pro,,,,,,,,,,60GB,168141493393,,,,,,,,,3.80GHz,,,,,,,,,,,,0.67 oz / 19 g,,Motherboard,,7194801348683,,,,915-000218,
case logic,3.5 mm audio,CC-Spirit-01,,,,,,,,,,600GB,740617217001,,,,,,,,,4.00 GHz,,,,,,,,,,,,0.01Kg,,Video Card,,7194801555449,,,,S14A-000-13910,
case-mate,RJ-45,Hyper 212 EVO,,,,,,,,,,6000 GB,814158022131,,,,,,,,,2.33GHz,,,,,,,,,,,,13.68 oz / 388 g,,CPU Processor,,0815530019305,,,,C05-051,
caso,1000 BaseT,Hyper 212X,,,,,,,,,,64 MB,78351017074,,,,,,,,,366 MHz,,,,,,,,,,,,7.3oz / 207g,,LCD Back Cover,,0888228784748,,,,CIPCARD,
cellular line,10 BaseT,Kuhler H1200 Pro,,,,,,,,,,64GB (4 x 16GB),883371000608,,,,,,,,,4.0GHz,,,,,,,,,,,,12 lbs,,Control Covers,,4712389910479,,,,Y5U59EA,
celly,SFF-8088 mini,Kuhler H600 Pro,,,,,,,,,,64MB,844750023700,,,,,,,,,4.3GHz,,,,,,,,,,,,18.62oz / 528g,,Desktop Monitor,,4711173873013,,,,Y5U59EA#ABH,
chenbro,USB Mini Type-B,MAY-T3PN-930PK-R1,,,,,,,,,,6GB (2GB x 3) ,848354007555,,,,,,,,,3.1GHz,,,,,,,,,,,,1.87 lb (0.85 kg),,Screws,,0718037836072,,,,ACR-CB7563,
cherry,Dual-Link DVI,MAY-T4PN-220PK-R1,,,,,,,,,,6TB,880959726080,,,,,,,,,2.80 GHz,,,,,,,,,,,,2.25 oz / 65 g,,Bottom Base,,0710423772960,,,,PT44FE-05Y024DU,
chieftec,VGA,MFY-B2DN-13NPC-R1,,,,,,,,,,7PB,619659078461,,,,,,,,,2.90,,,,,,,,,,,,22.93 oz / 650 g,,DC Jack,,0190151270725,,,,46W4364,
cisco,VGA port FireWire 400 port,MFY-F2DN-11NPC-R1,,,,,,,,,,72.8GB,612572202654,,,,,,,,,3.40GHz,,,,,,,,,,,,2.08 oz (58.97 g),,Mice-Wired,,5712505817148,,,,662248-B21,
citizen,DVI,MegaFlow 200,,,,,,,,,,72.8MB,730143303644,,,,,,,,,2.05 GHz,,,,,,,,,,,,312.98,,Cables-USB Cables,,8716065306606,,,,P1Q13EA#ABH,
clevo,WAN Port,SY1225SL12M,,,,,,,,,,72/144GB,842024029892,,,,,,,,,4.1GHz,,,,,,,,,,,,1.0 lb (0.45kg),,Mobile Device Accessories-Stand/Mount,,0815530013167,,,,PROHDMIL1,
clickfree,LAN Ports,SY1225SL12SH,,,,,,,,,,72GB,886227537150,,,,,,,,,3.00 GHz,,,,,,,,,,,,3.77oz / 107g,,Sit Stand Workstations-Accessories,,0886227446520,,,,871616-B21,
